Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
23,84.0,Low,--,No,7,73,Low,Yes,0,Low,Medium,Public,,3,No,High School,Near,Male,Unknown
19,Unknown,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,N/A,No,College,--,Female,61
24,98.0,Medium,Unknown,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74
29,Unknown,Low,NULL,,8,98,Medium,Yes,1,,Medium,NULL,Negative,4,No,High School,Moderate,Male,71
19,92.0,Medium,Medium,Yes,6,65,Medium,Yes,3,Medium,High,,Neutral,4,No,College,Near,Female,70
19,88.0,Medium,Medium,Yes,8,89,Medium,Yes,3,Medium,--,Public,Positive,3,No,Postgraduate,Near,Male,71
29,84.0,Unknown,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67
25,78.0,Low,High,Yes,6,50,Medium,Yes,1,High,High,Public,Negative,2,No,High School,N/A,Male,66
17,94.0,Medium,High,No,6,80,High,Yes,0,Medium,Low,Not Available,Neutral,1,No,College,Near,Male,69
23,98.0,N/A,Medium,Yes,--,71,Medium,Unknown,0,High,High,Public,Positive,5,No,High School,Moderate,Male,72
17,80.0,Unknown,NULL,Not Available,8,Not Available,Medium,No,4,Medium,High,,Neutral,4,No,College,Moderate,Male,68
17,97.0,Medium,High,Yes,6,87,Low,Yes,2,Low,High,Private,Neutral,2,No,Unknown,Near,Male,NULL
21,83.0,Medium,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,Positive,4,No,,Near,Male,70
9,82.0,Not Available,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
10,,Medium,High,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Not Available,4,No,Postgraduate,Near,Male,65
17,68.0,Medium,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64
14,Not Available,Medium,Low,Yes,10,65,Low,Yes,0,High,Medium,N/A,,3,No,College,Near,Male,60
22,70.0,Low,Medium,Yes,6,82,Medium,Yes,N/A,Low,High,Public,Neutral,3,No,--,Near,Female,65
15,80.0,Medium,NULL,Yes,--,91,Low,Yes,3,Low,Medium,Public,Positive,2,No,College,Moderate,Not Available,67
12,75.0,Medium,--,Yes,7,58,Medium,Unknown,3,Unknown,Medium,Unknown,Positive,4,No,College,Near,Male,66
29,78.0,Medium,Medium,No,5,99,High,Yes,0,Unknown,Medium,Public,Negative,1,No,High School,Moderate,Female,69
19,99.0,Medium,High,No,6,84,Medium,Yes,1,Medium,High,Public,Neutral,3,No,High School,Near,Male,72
20,74.0,N/A,High,No,8,89,--,Yes,1,Medium,Medium,Public,Negative,NULL,No,College,Moderate,Female,NULL
11,78.0,High,Unknown,Yes,8,Not Available,High,Yes,1,,Medium,Public,Neutral,Not Available,Not Available,High School,Moderate,Male,66
17,65.0,Low,High,Yes,5,75,Medium,Yes,2,Low,Medium,Public,Positive,Not Available,No,High School,Near,Female,63
21,62.0,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Not Available,3,No,Postgraduate,Far,Male,64
13,91.0,Low,Medium,No,6,90,Medium,Yes,1,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,Not Available
22,83.0,High,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71
16,90.0,Medium,Medium,No,4,58,Medium,Yes,1,--,Medium,Public,Neutral,NULL,No,High School,Moderate,Female,66
18,66.0,N/A,High,No,4,51,N/A,Yes,2,Low,Medium,Private,Neutral,2,No,College,Near,Male,64
16,83.0,Low,Unknown,No,6,57,Medium,Unknown,0,High,Low,Public,Not Available,4,Yes,,Near,Female,63
31,70.0,Medium,High,Yes,7,66,Medium,--,1,High,Medium,Public,Negative,3,No,College,Near,Male,69
20,69.0,Medium,Medium,Yes,8,96,Medium,Yes,--,Medium,High,Public,Positive,3,No,High School,Near,Male,67
14,60.0,High,Medium,No,5,50,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,College,,Female,Not Available
Not Available,65.0,High,Medium,No,5,90,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68
13,72.0,Low,Medium,No,6,93,Low,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,61
